Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,15pF,C1548
"C10, C8",0402,2,1uF,C52923
"C11, C12, C13, C14, C15, C16, C18, C3, C6, C7, C9",0402,11,100nF,C1525
"C19, C5",0805,2,1uF X5R/X7R,C28323
C4,0603,1,100pF,C14858
CN1,AUDIO-TH_PJ-320A-4P-DIP,1,~,C431535
HDMI1,HDMI-SMD_KH-HDMI-0021-JBS,1,~,C5204144
"R1, R2",0402,2,5.1k,C25905
"R13, R14, R15, R16",0402,4,2.2k,C25879
R17,0402,1,200k,C25764
R18,0603,1,470k,C23178
"R3, R4",0402,2,27,C137890
"R5, R6",0402,2,1k,C11702
"R7, R8",0402,2,10k,C25744
U1,VSSOP-8_2.3x2mm_P0.5mm,1,PCA9306,C33196
"U10, U11, U12, U6, U8, U9",Texas_DPY0002A_0.6x1mm_P0.65mm,6,TPD1E05U06DPY,C436349
U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U4,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,1,W25Q128JVPIQ,C190862
U5,HDMI-SMD_HDMI-GD-136PWB,1,~,C7425346
U7,XDFN-8_L1.6-W1.2-P0.40-BL-EP,1,~,
USB1,USB-C_SMD-TYPE-C-31-M-12,1,~,C2927038
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,C20625731
