Designator,Mid X,Mid Y,Rotation,Layer
C1,124.518973,-126.404994,315.0,top
C10,128.47,-112.225,0.0,top
C11,129.3,-119.7,90.0,top
C12,126.24,-125.55,0.0,top
C13,120.06,-121.21,270.0,top
C14,119.99,-115.89,180.0,top
C15,125.78,-112.21,90.0,top
C16,128.9,-114.22,90.0,top
C18,124.03,-109.47,90.0,top
C19,123.35,-96.581001,0.0,top
C2,122.690863,-124.597048,135.0,top
C3,124.86,-111.62,90.0,top
C4,120.061985,-108.394977,0.0,top
C5,122.849999,-92.681001,0.0,top
C6,124.5,-113.66,90.0,top
C7,126.23,-124.63,0.0,top
C8,127.275,-113.7,90.0,top
C9,129.3,-117.2,270.0,top
CN1,123.15,-100.88,0.0,top
HDMI1,128.1,-135.349358,0.0,bottom
R1,115.9,-92.681001,90.0,top
R13,117.67,-118.89,90.0,top
R14,118.61,-119.069999,90.0,top
R15,117.127216,-106.57,0.0,top
R16,117.117216,-105.61,0.0,top
R17,117.127327,-107.51,0.0,top
R18,123.347212,-107.075003,270.0,top
R2,120.235624,-93.416625,315.0,top
R3,117.42875,-93.841001,270.0,top
R4,118.42875,-93.841001,270.0,top
R5,124.189376,-124.739376,315.0,top
R6,117.617216,-108.66,180.0,top
R7,117.760001,-116.5,180.0,top
R8,129.3,-122.1,90.0,top
U1,120.338545,-106.389862,0.0,top
U10,121.2,-96.911,90.0,top
U11,118.57125,-92.431001,0.0,top
U12,117.27875,-92.431001,180.0,top
U3,124.65,-119.3,90.0,top
U4,120.23,-111.91,0.0,top
U5,134.25,-95.28,180.0,bottom
U6,119.54,-97.1,0.0,top
U7,122.45,-94.628501,0.0,top
U8,118.225571,-104.69,180.0,top
U9,119.900001,-104.68,180.0,top
USB1,118.425,-88.199359,180.0,top
Y1,121.945104,-127.013106,315.0,top
